team,url,likes1,18-05-15.19:05,18-05-15.19:17,18-05-15.19:26,18-05-15.21:00,18-05-15.21:15
YouRoot.io,https://www.youtube.com/watch?v=AmyVmUzp5WQ,5379,5525,5592,5633,6083,8386
CollectiveHealth,https://www.youtube.com/watch?v=itZ4blsBIDU,7017,7172,7242,7287,7742,7813
Armada,https://www.youtube.com/watch?v=enTh04mX5FQ,6810,6948,7012,7052,7478,7538
Team Decentralize,https://www.youtube.com/watch?v=fJJneJJgzwo,4544,4547,4547,4547,4554,6147
Undra.io,https://www.youtube.com/watch?v=cyL6khy7ipI,5146,5199,5207,5207,5209,5209
CADChain,https://www.youtube.com/watch?v=_aizBkuaXLM,4993,4994,4994,4994,4994,4994
DAO Axis,https://www.youtube.com/watch?v=-Mtxx3IEZLc,4544,4547,4547,4547,4554,4554
LoRaChain,https://www.youtube.com/watch?v=p0QRzNIKgBs,3676,3675,3676,3676,3677,3677
EOS-AGE-Project-DNA,https://www.youtube.com/watch?v=NcZZgCa809U,251,251,251,251,251,3298
iRespo.com,https://www.youtube.com/watch?v=NcZZgCa809U,3293,3294,3294,3294,3298,3298
VIM,https://www.youtube.com/watch?v=yhUfoRapr2w,6810,6948,7015,7051,7478,2505
TelEOS,https://www.youtube.com/watch?v=TSo13vorP8g,2313,2314,2314,2314,2314,2314
DelegationOne,https://www.youtube.com/watch?v=8tXweZ9Y1qI,1815,1815,1815,1815,1815,1815
This Coin Rocks,https://www.youtube.com/watch?v=ZR1DdBL8QDE,1543,1543,1543,1543,1543,1543
Way,https://www.youtube.com/watch?v=65X7dlDjB3s,1067,1067,1067,1067,1067,1067
FinCrowds,https://youtu.be/IVIGjQkl0NQ,1053,1054,1054,1054,1060,1060
codum,https://www.youtube.com/watch?v=sdtqOXH5svg,423,423,423,423,423,423
Delegator,https://www.youtube.com/watch?v=ZFouTSVoeAQ,5146,5199,5207,5207,5209,251
Magni,https://www.youtube.com/watch?v=1M_JPKkHhK4,112,112,112,112,112,227
FairAccess,https://www.youtube.com/watch?v=1M_JPKkHhK4,227,227,227,227,227,227
Query:,https://www.youtube.com/watch?v=HcjWpD2Eteg,112,112,112,112,112,112
Binary,https://www.youtube.com/watch?v=whovbY_pUsc,7024,7178,7245,7287,7742,89
SE5 Focus,https://www.youtube.com/watch?v=nAqBqpMRK7E,58,58,58,58,58,58
Ownit,https://www.youtube.com/watch?v=ir6VlVnG8SI,20,20,20,20,20,20
Screen Time,https://www.youtube.com/watch?v=ir6VlVnG8SI,10,10,10,10,10,20
Streamer.IO,https://www.youtube.com/watch?v=nmZZzxQsIwU,10,10,10,10,10,10
EOSomnia,https://www.youtube.com/watch?v=ZUEhi2LsFCs,1815,1815,1815,1815,1815,10
payment.one,https://www.youtube.com/watch?v=2KG78PGE1yk,,,,,,
